"filename", "language", "Python", "pip requirements", "Docker", "Ignore", "Markdown", "YAML", "Log", "Shell Script", "Properties", "JSON", "XML", "comment", "blank", "total"
"c:\my-code\online_images_collector\server\response.py", "Python", 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 12
"c:\my-code\online_images_collector\server\spider.py", "Python", 129, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 60, 26, 215
"c:\my-code\online_images_collector\server\thread_pool.py", "Python", 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 5, 20
"c:\my-code\online_images_collector\server\yolov5\.dockerignore", "Ignore", 0, 0, 0, 124, 0, 0, 0, 0, 0, 0, 0, 51, 48, 223
"c:\my-code\online_images_collector\server\yolov5\.github\FUNDING.yml", "YAML", 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 1, 2, 6
"c:\my-code\online_images_collector\server\yolov5\.github\ISSUE_TEMPLATE\bug-report.yml", "YAML", 0, 0, 0, 0, 0, 76, 0, 0, 0, 0, 0, 2, 8, 86
"c:\my-code\online_images_collector\server\yolov5\.github\ISSUE_TEMPLATE\config.yml", "YAML", 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 1, 9
"c:\my-code\online_images_collector\server\yolov5\.github\ISSUE_TEMPLATE\feature-request.yml", "YAML", 0, 0, 0, 0, 0, 44, 0, 0, 0, 0, 0, 1, 6, 51
"c:\my-code\online_images_collector\server\yolov5\.github\ISSUE_TEMPLATE\question.yml", "YAML", 0, 0, 0, 0, 0, 29, 0, 0, 0, 0, 0, 1, 4, 34
"c:\my-code\online_images_collector\server\yolov5\.github\PULL_REQUEST_TEMPLATE.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 1, 10
"c:\my-code\online_images_collector\server\yolov5\.github\SECURITY.md", "Markdown", 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 4, 8
"c:\my-code\online_images_collector\server\yolov5\.github\dependabot.yml", "YAML", 0, 0, 0, 0, 0, 22, 0, 0, 0, 0, 0, 0, 2, 24
"c:\my-code\online_images_collector\server\yolov5\.github\workflows\ci-testing.yml", "YAML", 0, 0, 0, 0, 0, 61, 0, 0, 0, 0, 0, 19, 14, 94
"c:\my-code\online_images_collector\server\yolov5\.github\workflows\codeql-analysis.yml", "YAML", 0, 0, 0, 0, 0, 23, 0, 0, 0, 0, 0, 20, 12, 55
"c:\my-code\online_images_collector\server\yolov5\.github\workflows\greetings.yml", "YAML", 0, 0, 0, 0, 0, 38, 0, 0, 0, 0, 0, 5, 17, 60
"c:\my-code\online_images_collector\server\yolov5\.github\workflows\rebase.yml", "YAML", 0, 0, 0, 0, 0, 19, 0, 0, 0, 0, 0, 1, 2, 22
"c:\my-code\online_images_collector\server\yolov5\.github\workflows\stale.yml", "YAML", 0, 0, 0, 0, 0, 30, 0, 0, 0, 0, 0, 1, 8, 39
"c:\my-code\online_images_collector\server\yolov5\.pre-commit-config.yaml", "YAML", 0, 0, 0, 0, 0, 33, 0, 0, 0, 0, 0, 24, 10, 67
"c:\my-code\online_images_collector\server\yolov5\CONTRIBUTING.md", "Markdown", 0, 0, 0, 0, 66, 0, 0, 0, 0, 0, 0, 0, 29, 95
"c:\my-code\online_images_collector\server\yolov5\Dockerfile", "Docker", 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 34, 21, 66
"c:\my-code\online_images_collector\server\yolov5\README.md", "Markdown", 0, 0, 0, 0, 233, 0, 0, 0, 0, 0, 0, 12, 60, 305
"c:\my-code\online_images_collector\server\yolov5\data\Argoverse.yaml", "YAML", 0, 0, 0, 0, 0, 40, 0, 0, 0, 0, 0, 12, 16, 68
"c:\my-code\online_images_collector\server\yolov5\data\GlobalWheat2020.yaml", "YAML", 0, 0, 0, 0, 0, 32, 0, 0, 0, 0, 0, 13, 10, 55
"c:\my-code\online_images_collector\server\yolov5\data\Objects365.yaml", "YAML", 0, 0, 0, 0, 0, 86, 0, 0, 0, 0, 0, 15, 13, 114
"c:\my-code\online_images_collector\server\yolov5\data\SKU-110K.yaml", "YAML", 0, 0, 0, 0, 0, 31, 0, 0, 0, 0, 0, 13, 10, 54
"c:\my-code\online_images_collector\server\yolov5\data\VOC.yaml", "YAML", 0, 0, 0, 0, 0, 54, 0, 0, 0, 0, 0, 12, 15, 81
"c:\my-code\online_images_collector\server\yolov5\data\VisDrone.yaml", "YAML", 0, 0, 0, 0, 0, 37, 0, 0, 0, 0, 0, 13, 12, 62
"c:\my-code\online_images_collector\server\yolov5\data\coco.yaml", "YAML", 0, 0, 0, 0, 0, 25, 0, 0, 0, 0, 0, 12, 9, 46
"c:\my-code\online_images_collector\server\yolov5\data\coco128.yaml", "YAML", 0, 0, 0, 0, 0, 15, 0, 0, 0, 0, 0, 10, 6, 31
"c:\my-code\online_images_collector\server\yolov5\data\hyps\hyp.Objects365.yaml", "YAML", 0, 0, 0, 0, 0, 29, 0, 0, 0, 0, 0, 4, 2, 35
"c:\my-code\online_images_collector\server\yolov5\data\hyps\hyp.VOC.yaml", "YAML", 0, 0, 0, 0, 0, 29, 0, 0, 0, 0, 0, 9, 3, 41
